value_id,product_super_attribute_id,store_id,use_default,"value"
53142,53121,1,1,""
53143,53122,1,1,""
53144,53123,1,1,""
53145,53124,1,1,""
53146,53125,1,1,""
53147,53126,1,1,""
53153,52974,1,1,""
53154,52975,1,1,""
53156,53135,1,1,""
53165,53144,1,1,""
53179,52973,1,1,""
53183,53162,1,1,""
53184,53163,1,1,""
53185,53164,1,1,""
53186,53165,1,1,""
53187,53166,1,1,""
53188,53167,1,1,""
53189,53168,1,1,""
53191,53170,1,1,""
53193,53172,1,1,""
53196,53175,1,1,""
53197,53176,1,1,""
53198,53177,1,1,""
53199,53178,1,1,""
53200,53179,1,1,""
53201,53180,1,1,""
53202,53181,1,1,""
53203,53182,1,1,""
53204,53183,1,1,""
53205,53184,1,1,""
53206,53185,1,1,""
53207,53186,1,1,""
53209,53188,1,1,""
53210,53189,1,1,""
53211,53190,1,1,""
53212,53191,1,1,""
53213,53192,1,1,""
53225,53204,1,1,""
53229,53208,1,1,""
53230,53209,1,1,""
53231,53210,1,1,""
53232,53211,1,1,""
53233,53212,1,1,""
53234,53213,1,1,""
53235,53214,1,1,""
53236,53215,1,1,""
53237,53216,1,1,""
53238,53217,1,1,""
53239,53218,1,1,""
53240,53219,1,1,""
53242,53221,1,1,""
53243,53222,1,1,""
53252,53231,1,1,""
53253,53232,1,1,""
53254,53233,1,1,""
53255,53234,1,1,""
53256,53235,1,1,""
53257,53236,1,1,""
53258,53237,1,1,""
53259,53238,1,1,""
53260,53239,1,1,""
53268,53247,1,1,""
53269,53248,1,1,""
53270,53249,1,1,""
53271,53250,1,1,""
53272,53251,1,1,""
53273,53252,1,1,""
53274,53253,1,1,""
53275,53254,1,1,""
53276,53255,1,1,""
53277,53256,1,1,""
53278,53257,1,1,""
53279,53258,1,1,""
53280,53259,1,1,""
53281,53260,1,1,""
53282,53261,1,1,""
53283,53262,1,1,""
53284,53263,1,1,""
53285,53264,1,1,""
53286,53265,1,1,""
53321,53300,1,1,""
53322,53301,1,1,""
53323,53302,1,1,""
53324,53303,1,1,""
53325,53304,1,1,""
53326,53305,1,1,""
53327,53306,1,1,""
53328,53307,1,1,""
53329,53308,1,1,""
53330,53309,1,1,""
53331,53310,1,1,""
53399,53378,1,1,""
53400,53379,1,1,""
53401,53380,1,1,""
